Geometric Albedo

Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich-silicate	Fe-oxidized	
micron			

1.046834e+00	9.070503e-02	2.426220e-01	5.113429e-01	2.129204e-01	5.204705e-01	5.872740e-01	3.109004e-01	1.770066e-01	
1.056153e+00	9.153981e-02	2.426406e-01	5.105104e-01	2.146101e-01	5.195847e-01	5.863554e-01	3.124342e-01	1.785540e-01	
1.065556e+00	9.411332e-02	2.435074e-01	5.099511e-01	2.165851e-01	5.192143e-01	5.870263e-01	3.143431e-01	1.807323e-01	
1.075043e+00	9.268625e-02	2.456823e-01	5.091488e-01	2.183376e-01	5.192045e-01	5.877111e-01	3.160855e-01	1.818846e-01	
1.084613e+00	9.416391e-02	2.479215e-01	5.081401e-01	2.202840e-01	5.193775e-01	5.870587e-01	3.178871e-01	1.828964e-01	
1.094270e+00	9.566303e-02	2.513420e-01	5.074544e-01	2.222162e-01	5.195059e-01	5.871880e-01	3.195874e-01	1.852818e-01	
1.104012e+00	9.591789e-02	2.547799e-01	5.068113e-01	2.237914e-01	5.184776e-01	5.868470e-01	3.209277e-01	1.870273e-01	
1.113841e+00	9.749142e-02	2.585514e-01	5.062013e-01	2.253613e-01	5.188654e-01	5.851945e-01	3.222374e-01	1.885116e-01	
1.123757e+00	9.789919e-02	2.628167e-01	5.053641e-01	2.267629e-01	5.190757e-01	5.865743e-01	3.233802e-01	1.899489e-01	
1.133761e+00	1.002455e-01	2.667889e-01	5.047189e-01	2.280256e-01	5.190163e-01	5.875469e-01	3.244191e-01	1.916070e-01	
1.143855e+00	1.003808e-01	2.702426e-01	5.038148e-01	2.290061e-01	5.184647e-01	5.828622e-01	3.252101e-01	1.934921e-01	
1.154039e+00	1.021131e-01	2.730216e-01	5.030354e-01	2.297558e-01	5.186853e-01	5.838942e-01	3.256848e-01	1.946417e-01	
1.164313e+00	1.032991e-01	2.760471e-01	5.015710e-01	2.304417e-01	5.188421e-01	5.878336e-01	3.260085e-01	1.953105e-01	
1.174679e+00	1.052600e-01	2.789120e-01	5.001205e-01	2.309441e-01	5.195160e-01	5.900853e-01	3.259638e-01	1.965082e-01	
1.185136e+00	1.073053e-01	2.815625e-01	4.989350e-01	2.313823e-01	5.196731e-01	5.903229e-01	3.256075e-01	1.968915e-01	
1.195688e+00	1.096867e-01	2.835212e-01	4.979751e-01	2.316727e-01	5.201879e-01	5.913376e-01	3.239801e-01	1.978357e-01	
1.206333e+00	1.108171e-01	2.858056e-01	4.969292e-01	2.319878e-01	5.201303e-01	5.955578e-01	3.220840e-01	1.979979e-01	
1.217072e+00	1.126225e-01	2.882831e-01	4.957098e-01	2.322561e-01	5.207122e-01	5.971765e-01	3.206308e-01	1.981089e-01	
1.227908e+00	1.148123e-01	2.913512e-01	4.949832e-01	2.323961e-01	5.212255e-01	5.982548e-01	3.190780e-01	1.984049e-01	
1.238839e+00	1.171299e-01	2.934817e-01	4.944611e-01	2.325580e-01	5.220569e-01	6.011213e-01	3.181249e-01	1.988400e-01	
1.249869e+00	1.200553e-01	2.962061e-01	4.932839e-01	2.326811e-01	5.227344e-01	6.027521e-01	3.178526e-01	1.983390e-01	
1.260996e+00	1.208952e-01	2.990440e-01	4.935971e-01	2.328514e-01	5.233953e-01	6.033435e-01	3.178589e-01	1.979665e-01	
1.272222e+00	1.235372e-01	3.029816e-01	4.936675e-01	2.329730e-01	5.240094e-01	6.008423e-01	3.179115e-01	1.976738e-01	
1.283549e+00	1.255403e-01	3.066824e-01	4.934291e-01	2.330868e-01	5.250183e-01	6.011400e-01	3.181075e-01	1.977814e-01	
1.294976e+00	1.277466e-01	3.111158e-01	4.940123e-01	2.332388e-01	5.260054e-01	6.065904e-01	3.181605e-01	1.978873e-01	
1.306505e+00	1.297854e-01	3.159478e-01	4.945928e-01	2.333457e-01	5.272195e-01	6.080866e-01	3.184198e-01	1.972528e-01	
1.318137e+00	1.323914e-01	3.211476e-01	4.947625e-01	2.335030e-01	5.284559e-01	6.101089e-01	3.194106e-01	1.969617e-01	
1.329872e+00	1.338993e-01	3.271984e-01	4.960252e-01	2.336534e-01	5.297314e-01	6.090554e-01	3.203762e-01	1.973870e-01	
1.341711e+00	1.362618e-01	3.338253e-01	4.972011e-01	2.337751e-01	5.300068e-01	6.076819e-01	3.210027e-01	1.966560e-01	
1.353656e+00	1.377417e-01	3.407651e-01	4.974013e-01	2.338695e-01	5.314670e-01	5.939815e-01	3.211917e-01	1.972620e-01	
1.365708e+00	1.409521e-01	3.484146e-01	4.988460e-01	2.340197e-01	5.330009e-01	5.864896e-01	3.211297e-01	1.967230e-01	
1.377866e+00	1.427042e-01	3.562335e-01	5.003215e-01	2.341155e-01	5.340876e-01	5.511512e-01	3.206033e-01	1.962723e-01	
1.390133e+00	1.458222e-01	3.648538e-01	5.024525e-01	2.342109e-01	5.351687e-01	4.611495e-01	3.200013e-01	1.967814e-01	
1.402509e+00	1.477080e-01	3.736935e-01	5.048865e-01	2.342963e-01	5.361409e-01	4.856721e-01	3.172884e-01	1.965507e-01	
1.414996e+00	1.489614e-01	3.831902e-01	5.070523e-01	2.343761e-01	5.382371e-01	5.244488e-01	3.087999e-01	1.971147e-01	
